id,article_nr,medium_code,relevant,frames_present,dominant_frame,resp_accused_actors,moral_position,conflict_parties,raw_text
977812,32,BU,1,2;6;8,2,SVP;Wirtschaft,NA,Bundesrätin Simonetta Sommaruga;SVP;Wirtschaft,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Wirtschaft""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Bundesrätin Simonetta Sommaruga"", ""SVP"", ""Wirtschaft""]
  }
}"
1002291,33,BLI,1,1;2;6;8,8,EU;SVP,NA,Befürworter der Initiative;Gegner der Initiative,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""SVP""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""Befürworter der Initiative"", ""Gegner der Initiative""]
    }
}"
990266,34,NZZ,1,2;6;8,6,SVP,NA,SVP;NZZ;Economiesuisse;Gewerbeverband;Gewerkschaftsbund;Travail Suisse;Angestellte;Kantonsregierungen;Evangelischer Kirchenbund,"{
    ""relevant"": 1,
    ""frames_present"": [2, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""NZZ"", ""Economiesuisse"", ""Gewerbeverband"", ""Gewerkschaftsbund"", ""Travail Suisse"", ""Angestellte"", ""Kantonsregierungen"", ""Evangelischer Kirchenbund""]
    }
}"
1397020,35,TA,0,NA,0,NA,NA,NA,"{
  ""relevant"": 0,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1083409,36,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
977126,37,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1034292,38,SRF,1,1;6;8,1,Arbeitgeber,NA,Tessiner Grüne;Grüne Schweiz,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Arbeitgeber""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Tessiner Grüne"", ""Grüne Schweiz""]
  }
}"
1181571,39,SGT,1,6;8,8,SVP;EU,NA,SVP;Economiesuisse;EU;FDP;SP,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [
      ""SVP"",
      ""EU""
    ]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""SVP"",
      ""Economiesuisse"",
      ""EU"",
      ""FDP"",
      ""SP""
    ]
  }
}"
922346,40,SRF,1,1;6;8,6,Bundesrat;Wirtschaftsverbände;alle grossen Parteien mit Ausnahme der SVP,NA,konservative Schweiz;liberale Schweiz,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Bundesrat"", ""Wirtschaftsverbände"", ""alle grossen Parteien mit Ausnahme der SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""konservative Schweiz"", ""liberale Schweiz""]
  }
}"
1256261,41,TA,1,2;6;8,2,EU,NA,EU;Switzerland,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""EU""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""EU"", ""Switzerland""]
  }
}"
1193797,42,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1368039,43,NZZ,1,8,8,NA,NA,"SVP;Gegnerkomitee (FDP, CVP, BDP, GLP, EVP, Grüne);SP","{
    ""relevant"": 1,
    ""frames_present"": [8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""SVP"",
            ""Gegnerkomitee (FDP, CVP, BDP, GLP, EVP, Grüne)"",
            ""SP""
        ]
    }
}"
1119646,44,BU,1,1;6;8,6,Wirtschaft;EU,NA,SVP;Befürworter der Personenfreizügigkeit,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Wirtschaft"", ""EU""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Befürworter der Personenfreizügigkeit""]
    }
}"
1010912,45,ZWA,1,2;8,2,NA,NA,Schweizer Regierung;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Schweizer Regierung"", ""SVP""]
  }
}"
1020414,46,SGT,1,1;3;6;7,1,EU;Politicians;Federal Council;Frau Sommaruga,restriktiv,NA,"{
    ""relevant"": 1,
    ""frames_present"": [1, 3, 6, 7],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""Politicians"", ""Federal Council"", ""Frau Sommaruga""]
    },
    ""moral_frame"": {
        ""position"": ""restriktiv""
    },
    ""conflict_frame"": null
}"
1028403,47,NZZ,1,1;6;8,6,CSU;Medien;rechtskonservative Politiker,NA,SPD;CSU,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""CSU"", ""Medien"", ""rechtskonservative Politiker""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SPD"", ""CSU""]
  }
}"
1012964,48,SRF,1,2;8,2,NA,NA,Kantonsregierungen;SVP,"{
    ""relevant"": 1,
    ""frames_present"": [2, 8],
    ""dominant_frame"": 2,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""Kantonsregierungen"",
            ""SVP""
        ]
    }
}"
952265,49,SGT,1,6;8,6,Schweiz;KGV,NA,KGV;IHK St. Gallen-Appenzell;Überparteiliches Komitee,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Schweiz"", ""KGV""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""KGV"", ""IHK St. Gallen-Appenzell"", ""Überparteiliches Komitee""]
  }
}"
1350045,50,BZ,1,5;6;7;8,5,EU;Schweiz,liberal,EU und Schweiz;Befürworter einer liberaleren Einwanderungspolitik,"{
  ""relevant"": 1,
  ""frames_present"": [5, 6, 7, 8],
  ""dominant_frame"": 5,
  ""responsibility_frame"": {
    ""accused_actors"": [""EU"", ""Schweiz""]
  },
  ""moral_frame"": {
    ""position"": ""liberal""
  },
  ""conflict_frame"": {
    ""parties"": [""EU und Schweiz"", ""Befürworter einer liberaleren Einwanderungspolitik""]
  }
}"
953032,51,SGT,1,1;2;6;8,2,SVP;Martin Baltisser,NA,Ökonomen;SVP,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 2,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP"", ""Martin Baltisser""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""Ökonomen"", ""SVP""]
    }
}"
1198470,52,NZZ,1,2;6;8,2,ehemalige Politik der kontingentierten Zuwanderung,NA,bürgerliches Lager;Befürworter der Personenfreizügigkeit,"{
    ""relevant"": 1,
    ""frames_present"": [2, 6, 8],
    ""dominant_frame"": 2,
    ""responsibility_frame"": {
        ""accused_actors"": [""ehemalige Politik der kontingentierten Zuwanderung""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""bürgerliches Lager"", ""Befürworter der Personenfreizügigkeit""]
    }
}"
1035011,53,BZ,0,NA,0,NA,NA,NA,"{
  ""relevant"": 0,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1255279,54,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1066354,55,SGT,1,1;3;6;7;8,1,EU;Schweizer Wirtschaftsdachverbände;grünes und rotes Politspektrum,restriktiv,Befürworter der Initiative;Gegner der Initiative,"{
  ""relevant"": 1,
  ""frames_present"": [1, 3, 6, 7, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""EU"", ""Schweizer Wirtschaftsdachverbände"", ""grünes und rotes Politspektrum""]
  },
  ""moral_frame"": {
    ""position"": ""restriktiv""
  },
  ""conflict_frame"": {
    ""parties"": [""Befürworter der Initiative"", ""Gegner der Initiative""]
  }
}"
925365,56,ZWA,1,2;8,2,NA,NA,Rechte;Wirtschaftsverbände,"{
    ""relevant"": 1,
    ""frames_present"": [2, 8],
    ""dominant_frame"": 2,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""Rechte"",
            ""Wirtschaftsverbände""
        ]
    }
}"
1123331,57,SGT,1,2;6;7;8,2,SVP;firms that abuse labor conditions,liberal,Unia;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 7, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""firms that abuse labor conditions""]
  },
  ""moral_frame"": {
    ""position"": ""liberal""
  },
  ""conflict_frame"": {
    ""parties"": [""Unia"", ""SVP""]
  }
}"
928651,58,SRF,1,2;6;8,8,Deutschschweiz;SVP,NA,Romandie;Deutschschweiz;SVP;europäisches Establishment,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""Deutschschweiz"", ""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Romandie"", ""Deutschschweiz"", ""SVP"", ""europäisches Establishment""]
  }
}"
1364106,59,SGT,1,1,1,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [1],
    ""dominant_frame"": 1,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1047213,60,SGT,1,2,2,NA,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [2],
  ""dominant_frame"": 2,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1029474,61,BU,0,NA,0,NA,NA,NA,"{
  ""relevant"": 0,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1212157,62,BZ,1,6;8,8,NA,NA,SVP;SP;Bundesrat;Kantone,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": {
        ""accused_actors"": []
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""SP"", ""Bundesrat"", ""Kantone""]
    }
}"
1011389,63,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
993117,64,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
996061,65,BLI,1,1;2;6;8,1,Gewerkschaften;SVP,NA,Gewerkschaften;KMU-Verband;SVP;Bundesrat,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Gewerkschaften"", ""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Gewerkschaften"", ""KMU-Verband"", ""SVP"", ""Bundesrat""]
  }
}"
979418,66,SGT,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1271489,67,TA,1,1;6;8,1,Befürworter der Personenfreizügigkeit,NA,Gegner der Personenfreizügigkeit;Befürworter der Personenfreizügigkeit,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Befürworter der Personenfreizügigkeit""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Gegner der Personenfreizügigkeit"", ""Befürworter der Personenfreizügigkeit""]
  }
}"
1003385,68,SRF,1,NA,0,NA,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1080984,69,SGT,1,1;6,1,Regierung;Wirtschaftsverbände,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Regierung"", ""Wirtschaftsverbände""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1042163,70,BU,1,1;6;8,6,EU;Migranten;FDP;SVP;HEV,NA,FDP;SVP;HEV;Mieterverbände;Bundesrat,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""Migranten"", ""FDP"", ""SVP"", ""HEV""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""FDP"", ""SVP"", ""HEV"", ""Mieterverbände"", ""Bundesrat""]
    }
}"
1271226,71,BU,1,NA,0,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1146782,72,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1201544,73,BU,1,3;6;8,6,Grossratsparteien von BDP bis SP,NA,Junge SVP;Grossratsparteien von BDP bis SP,"{
  ""relevant"": 1,
  ""frames_present"": [3, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Grossratsparteien von BDP bis SP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Junge SVP"", ""Grossratsparteien von BDP bis SP""]
  }
}"
1008313,74,BLI,1,6;8,8,EU;SVP,NA,EU;SVP;CVP,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""EU"", ""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""EU"", ""SVP"", ""CVP""]
  }
}"
936033,75,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
